component_failed,country,days_since_last_service,downtime_hours,equipment_id,equipment_type,event_date,event_id,event_type,failure_mode,maintenance_type,manufacturer,mine_type,model_year,oil_analysis_flag,operating_hours,production_loss_tonnes,repair_cost_usd,severity,table_name,temperature_flag,vibration_flag,was_scheduled
,drc,,,UNIT-1063,grader,,,,,,Komatsu,open_pit,2011.0,,,,,,equipment,,,
,south_africa,,,UNIT-1065,excavator,,,,,,Caterpillar,open_pit,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1066,loader,,,,,,Volvo,open_pit,2008.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1067,drill_rig,,,,,,Epiroc,underground,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1068,haul_truck,,,,,,Hitachi,processing_plant,2011.0,,,,,,equipment,,,
,tanzania,,,UNIT-1070,haul_truck,,,,,,Belaz,open_pit,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1071,conveyor,,,,,,ThyssenKrupp,open_pit,2012.0,,,,,,equipment,,,
,south_africa,,,UNIT-1073,loader,,,,,,Caterpillar,open_pit,2022.0,,,,,,equipment,,,
,south_africa,,,UNIT-1075,crusher,,,,,,FLSmidth,open_pit,2011.0,,,,,,equipment,,,
,botswana,,,UNIT-1076,loader,,,,,,Caterpillar,underground,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1077,conveyor,,,,,,FLSmidth,open_pit,2013.0,,,,,,equipment,,,
,tanzania,,,UNIT-1079,drill_rig,,,,,,Sandvik,open_pit,2008.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1083,excavator,,,,,,Liebherr,underground,2012.0,,,,,,equipment,,,
,south_africa,,,UNIT-1084,conveyor,,,,,,Metso,underground,2013.0,,,,,,equipment,,,
,drc,,,UNIT-1089,haul_truck,,,,,,Belaz,open_pit,2020.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1090,excavator,,,,,,Liebherr,open_pit,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1091,excavator,,,,,,Caterpillar,open_pit,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1096,excavator,,,,,,Caterpillar,processing_plant,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1098,haul_truck,,,,,,Belaz,underground,2008.0,,,,,,equipment,,,
,drc,,,UNIT-1099,excavator,,,,,,Komatsu,underground,2022.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1108,pump,,,,,,Metso,underground,2017.0,,,,,,equipment,,,
,tanzania,,,UNIT-1110,drill_rig,,,,,,Epiroc,processing_plant,2018.0,,,,,,equipment,,,
,zambia,,,UNIT-1112,haul_truck,,,,,,Caterpillar,processing_plant,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1123,loader,,,,,,Caterpillar,open_pit,2013.0,,,,,,equipment,,,
,botswana,,,UNIT-1125,conveyor,,,,,,FLSmidth,open_pit,2019.0,,,,,,equipment,,,
,drc,,,UNIT-1127,conveyor,,,,,,Metso,processing_plant,2018.0,,,,,,equipment,,,
,south_africa,,,UNIT-1129,grader,,,,,,John Deere,underground,2008.0,,,,,,equipment,,,
,tanzania,,,UNIT-1131,excavator,,,,,,Komatsu,underground,2013.0,,,,,,equipment,,,
,tanzania,,,UNIT-1132,conveyor,,,,,,Metso,processing_plant,2017.0,,,,,,equipment,,,
,drc,,,UNIT-1134,loader,,,,,,Komatsu,open_pit,2017.0,,,,,,equipment,,,
,tanzania,,,UNIT-1141,drill_rig,,,,,,Epiroc,open_pit,2023.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1142,crusher,,,,,,Sandvik,processing_plant,2019.0,,,,,,equipment,,,
,ghana,,,UNIT-1146,haul_truck,,,,,,Caterpillar,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1149,excavator,,,,,,Komatsu,underground,2017.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1151,grader,,,,,,John Deere,underground,2021.0,,,,,,equipment,,,
,tanzania,,,UNIT-1155,crusher,,,,,,FLSmidth,underground,2023.0,,,,,,equipment,,,
,south_africa,,,UNIT-1159,excavator,,,,,,Hitachi,open_pit,2021.0,,,,,,equipment,,,
,botswana,,,UNIT-1160,crusher,,,,,,Metso,open_pit,2013.0,,,,,,equipment,,,
,drc,,,UNIT-1161,drill_rig,,,,,,Epiroc,open_pit,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1163,conveyor,,,,,,Metso,open_pit,2018.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1165,pump,,,,,,KSB,open_pit,2019.0,,,,,,equipment,,,
,south_africa,,,UNIT-1167,drill_rig,,,,,,Sandvik,underground,2023.0,,,,,,equipment,,,
,ghana,,,UNIT-1169,conveyor,,,,,,ThyssenKrupp,processing_plant,2014.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1171,haul_truck,,,,,,Hitachi,underground,2010.0,,,,,,equipment,,,
,tanzania,,,UNIT-1175,conveyor,,,,,,FLSmidth,open_pit,2018.0,,,,,,equipment,,,
,drc,,,UNIT-1177,grader,,,,,,John Deere,open_pit,2017.0,,,,,,equipment,,,
,ghana,,,UNIT-1184,excavator,,,,,,Liebherr,processing_plant,2021.0,,,,,,equipment,,,
,south_africa,,,UNIT-1185,drill_rig,,,,,,Caterpillar,underground,2008.0,,,,,,equipment,,,
,south_africa,,,UNIT-1188,haul_truck,,,,,,Hitachi,open_pit,2022.0,,,,,,equipment,,,
,drc,,,UNIT-1190,conveyor,,,,,,ThyssenKrupp,processing_plant,2011.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1194,loader,,,,,,Volvo,underground,2018.0,,,,,,equipment,,,
,botswana,,,UNIT-1195,haul_truck,,,,,,Hitachi,open_pit,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1196,excavator,,,,,,Hitachi,open_pit,2011.0,,,,,,equipment,,,
,ghana,,,UNIT-1197,haul_truck,,,,,,Hitachi,underground,2020.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1199,grader,,,,,,Komatsu,open_pit,2013.0,,,,,,equipment,,,
,zambia,,,UNIT-1200,crusher,,,,,,Sandvik,processing_plant,2013.0,,,,,,equipment,,,
,zambia,,,UNIT-1204,drill_rig,,,,,,Epiroc,processing_plant,2018.0,,,,,,equipment,,,
,drc,,,UNIT-1205,loader,,,,,,Caterpillar,open_pit,2011.0,,,,,,equipment,,,
,tanzania,,,UNIT-1208,drill_rig,,,,,,Epiroc,open_pit,2010.0,,,,,,equipment,,,
,tanzania,,,UNIT-1209,crusher,,,,,,FLSmidth,underground,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1212,conveyor,,,,,,FLSmidth,open_pit,2022.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1213,conveyor,,,,,,Metso,underground,2008.0,,,,,,equipment,,,
,tanzania,,,UNIT-1215,haul_truck,,,,,,Belaz,open_pit,2020.0,,,,,,equipment,,,
,zambia,,,UNIT-1220,conveyor,,,,,,ThyssenKrupp,underground,2009.0,,,,,,equipment,,,
,drc,,,UNIT-1223,grader,,,,,,Caterpillar,underground,2019.0,,,,,,equipment,,,
,zambia,,,UNIT-1225,excavator,,,,,,Caterpillar,open_pit,2010.0,,,,,,equipment,,,
,tanzania,,,UNIT-1226,haul_truck,,,,,,Hitachi,processing_plant,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1229,drill_rig,,,,,,Caterpillar,underground,2014.0,,,,,,equipment,,,
,ghana,,,UNIT-1237,excavator,,,,,,Caterpillar,underground,2019.0,,,,,,equipment,,,
,south_africa,,,UNIT-1238,drill_rig,,,,,,Caterpillar,underground,2008.0,,,,,,equipment,,,
,ghana,,,UNIT-1239,haul_truck,,,,,,Komatsu,underground,2009.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1242,haul_truck,,,,,,Belaz,underground,2016.0,,,,,,equipment,,,
,zambia,,,UNIT-1244,excavator,,,,,,Caterpillar,open_pit,2023.0,,,,,,equipment,,,
,south_africa,,,UNIT-1252,loader,,,,,,Caterpillar,open_pit,2008.0,,,,,,equipment,,,
,ghana,,,UNIT-1260,haul_truck,,,,,,Belaz,underground,2012.0,,,,,,equipment,,,
,zambia,,,UNIT-1263,haul_truck,,,,,,Komatsu,underground,2009.0,,,,,,equipment,,,
,ghana,,,UNIT-1266,excavator,,,,,,Caterpillar,underground,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1268,haul_truck,,,,,,Hitachi,open_pit,2010.0,,,,,,equipment,,,
,drc,,,UNIT-1270,grader,,,,,,Komatsu,open_pit,2022.0,,,,,,equipment,,,
,tanzania,,,UNIT-1271,haul_truck,,,,,,Belaz,processing_plant,2021.0,,,,,,equipment,,,
,south_africa,,,UNIT-1277,haul_truck,,,,,,Belaz,underground,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1278,haul_truck,,,,,,Belaz,underground,2019.0,,,,,,equipment,,,
,zambia,,,UNIT-1279,conveyor,,,,,,Metso,processing_plant,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1281,excavator,,,,,,Caterpillar,underground,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1283,haul_truck,,,,,,Belaz,open_pit,2014.0,,,,,,equipment,,,
,zambia,,,UNIT-1285,grader,,,,,,Caterpillar,underground,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1287,conveyor,,,,,,FLSmidth,processing_plant,2017.0,,,,,,equipment,,,
,ghana,,,UNIT-1288,haul_truck,,,,,,Komatsu,open_pit,2022.0,,,,,,equipment,,,
,south_africa,,,UNIT-1289,conveyor,,,,,,Metso,underground,2022.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1290,excavator,,,,,,Liebherr,open_pit,2022.0,,,,,,equipment,,,
,drc,,,UNIT-1291,conveyor,,,,,,ThyssenKrupp,processing_plant,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1293,crusher,,,,,,FLSmidth,open_pit,2015.0,,,,,,equipment,,,
,tanzania,,,UNIT-1295,haul_truck,,,,,,Hitachi,underground,2019.0,,,,,,equipment,,,
,drc,,,UNIT-1299,drill_rig,,,,,,Caterpillar,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1307,excavator,,,,,,Liebherr,underground,2022.0,,,,,,equipment,,,
,drc,,,UNIT-1312,crusher,,,,,,Metso,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1313,excavator,,,,,,Komatsu,underground,2011.0,,,,,,equipment,,,
,botswana,,,UNIT-1316,haul_truck,,,,,,Komatsu,processing_plant,2008.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1317,conveyor,,,,,,ThyssenKrupp,open_pit,2017.0,,,,,,equipment,,,
,tanzania,,,UNIT-1322,grader,,,,,,Caterpillar,underground,2008.0,,,,,,equipment,,,
,tanzania,,,UNIT-1323,grader,,,,,,Komatsu,open_pit,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1324,pump,,,,,,KSB,open_pit,2012.0,,,,,,equipment,,,
,zambia,,,UNIT-1325,haul_truck,,,,,,Komatsu,open_pit,2011.0,,,,,,equipment,,,
,south_africa,,,UNIT-1326,conveyor,,,,,,Metso,open_pit,2011.0,,,,,,equipment,,,
,ghana,,,UNIT-1327,haul_truck,,,,,,Caterpillar,open_pit,2015.0,,,,,,equipment,,,
,zambia,,,UNIT-1328,grader,,,,,,John Deere,open_pit,2008.0,,,,,,equipment,,,
,drc,,,UNIT-1332,loader,,,,,,Volvo,underground,2023.0,,,,,,equipment,,,
,south_africa,,,UNIT-1333,loader,,,,,,Volvo,underground,2019.0,,,,,,equipment,,,
,ghana,,,UNIT-1334,crusher,,,,,,Sandvik,open_pit,2012.0,,,,,,equipment,,,
,botswana,,,UNIT-1335,haul_truck,,,,,,Hitachi,underground,2020.0,,,,,,equipment,,,
,drc,,,UNIT-1336,haul_truck,,,,,,Belaz,open_pit,2016.0,,,,,,equipment,,,
,zambia,,,UNIT-1339,grader,,,,,,Caterpillar,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1346,pump,,,,,,KSB,open_pit,2009.0,,,,,,equipment,,,
,ghana,,,UNIT-1347,excavator,,,,,,Liebherr,open_pit,2011.0,,,,,,equipment,,,
,zambia,,,UNIT-1348,conveyor,,,,,,FLSmidth,open_pit,2022.0,,,,,,equipment,,,
,tanzania,,,UNIT-1350,loader,,,,,,Caterpillar,open_pit,2014.0,,,,,,equipment,,,
,zambia,,,UNIT-1352,excavator,,,,,,Liebherr,underground,2016.0,,,,,,equipment,,,
,botswana,,,UNIT-1355,conveyor,,,,,,FLSmidth,processing_plant,2020.0,,,,,,equipment,,,
,zambia,,,UNIT-1356,pump,,,,,,Weir,processing_plant,2019.0,,,,,,equipment,,,
,tanzania,,,UNIT-1360,haul_truck,,,,,,Hitachi,underground,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1361,drill_rig,,,,,,Epiroc,underground,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1362,grader,,,,,,John Deere,processing_plant,2010.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1363,grader,,,,,,Caterpillar,underground,2012.0,,,,,,equipment,,,
,zambia,,,UNIT-1365,haul_truck,,,,,,Hitachi,open_pit,2013.0,,,,,,equipment,,,
,zambia,,,UNIT-1366,conveyor,,,,,,FLSmidth,underground,2011.0,,,,,,equipment,,,
,south_africa,,,UNIT-1368,drill_rig,,,,,,Caterpillar,underground,2020.0,,,,,,equipment,,,
,ghana,,,UNIT-1369,pump,,,,,,Weir,underground,2023.0,,,,,,equipment,,,
,south_africa,,,UNIT-1371,pump,,,,,,Metso,open_pit,2016.0,,,,,,equipment,,,
,drc,,,UNIT-1374,haul_truck,,,,,,Komatsu,open_pit,2010.0,,,,,,equipment,,,
,botswana,,,UNIT-1377,conveyor,,,,,,ThyssenKrupp,underground,2013.0,,,,,,equipment,,,
,drc,,,UNIT-1381,loader,,,,,,Komatsu,open_pit,2015.0,,,,,,equipment,,,
,botswana,,,UNIT-1382,drill_rig,,,,,,Sandvik,open_pit,2019.0,,,,,,equipment,,,
,south_africa,,,UNIT-1388,crusher,,,,,,Metso,open_pit,2023.0,,,,,,equipment,,,
,drc,,,UNIT-1390,haul_truck,,,,,,Caterpillar,underground,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1391,drill_rig,,,,,,Caterpillar,processing_plant,2018.0,,,,,,equipment,,,
,south_africa,,,UNIT-1394,crusher,,,,,,FLSmidth,open_pit,2010.0,,,,,,equipment,,,
,ghana,,,UNIT-1395,drill_rig,,,,,,Caterpillar,underground,2013.0,,,,,,equipment,,,
,ghana,,,UNIT-1397,grader,,,,,,John Deere,underground,2010.0,,,,,,equipment,,,
,botswana,,,UNIT-1401,haul_truck,,,,,,Belaz,open_pit,2020.0,,,,,,equipment,,,
,botswana,,,UNIT-1403,pump,,,,,,Weir,open_pit,2023.0,,,,,,equipment,,,
,zambia,,,UNIT-1404,drill_rig,,,,,,Epiroc,processing_plant,2018.0,,,,,,equipment,,,
,tanzania,,,UNIT-1405,crusher,,,,,,Metso,processing_plant,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1406,haul_truck,,,,,,Hitachi,open_pit,2014.0,,,,,,equipment,,,
,zambia,,,UNIT-1410,drill_rig,,,,,,Caterpillar,processing_plant,2012.0,,,,,,equipment,,,
,zambia,,,UNIT-1412,grader,,,,,,Caterpillar,open_pit,2014.0,,,,,,equipment,,,
,zambia,,,UNIT-1413,grader,,,,,,Komatsu,open_pit,2013.0,,,,,,equipment,,,
,south_africa,,,UNIT-1416,crusher,,,,,,Sandvik,open_pit,2023.0,,,,,,equipment,,,
,drc,,,UNIT-1420,haul_truck,,,,,,Caterpillar,open_pit,2019.0,,,,,,equipment,,,
,drc,,,UNIT-1425,excavator,,,,,,Caterpillar,underground,2017.0,,,,,,equipment,,,
,drc,,,UNIT-1426,pump,,,,,,KSB,open_pit,2011.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1427,crusher,,,,,,Sandvik,processing_plant,2017.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1434,conveyor,,,,,,FLSmidth,underground,2011.0,,,,,,equipment,,,
,ghana,,,UNIT-1437,drill_rig,,,,,,Caterpillar,open_pit,2022.0,,,,,,equipment,,,
,tanzania,,,UNIT-1438,conveyor,,,,,,Metso,open_pit,2018.0,,,,,,equipment,,,
,south_africa,,,UNIT-1440,grader,,,,,,Caterpillar,underground,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1441,crusher,,,,,,FLSmidth,open_pit,2018.0,,,,,,equipment,,,
,tanzania,,,UNIT-1442,haul_truck,,,,,,Caterpillar,processing_plant,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1443,crusher,,,,,,FLSmidth,open_pit,2022.0,,,,,,equipment,,,
,drc,,,UNIT-1445,drill_rig,,,,,,Epiroc,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1447,haul_truck,,,,,,Hitachi,open_pit,2012.0,,,,,,equipment,,,
,tanzania,,,UNIT-1450,crusher,,,,,,Metso,underground,2023.0,,,,,,equipment,,,
,tanzania,,,UNIT-1451,haul_truck,,,,,,Caterpillar,open_pit,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1453,excavator,,,,,,Caterpillar,open_pit,2019.0,,,,,,equipment,,,
,botswana,,,UNIT-1454,conveyor,,,,,,Metso,open_pit,2023.0,,,,,,equipment,,,
,zambia,,,UNIT-1457,haul_truck,,,,,,Belaz,open_pit,2013.0,,,,,,equipment,,,
,south_africa,,,UNIT-1458,excavator,,,,,,Caterpillar,open_pit,2008.0,,,,,,equipment,,,
,botswana,,,UNIT-1461,pump,,,,,,KSB,processing_plant,2008.0,,,,,,equipment,,,
,ghana,,,UNIT-1462,haul_truck,,,,,,Hitachi,open_pit,2015.0,,,,,,equipment,,,
,drc,,,UNIT-1463,excavator,,,,,,Hitachi,open_pit,2019.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1464,conveyor,,,,,,FLSmidth,underground,2012.0,,,,,,equipment,,,
,ghana,,,UNIT-1465,excavator,,,,,,Hitachi,underground,2016.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1467,loader,,,,,,Komatsu,underground,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1473,loader,,,,,,Volvo,processing_plant,2008.0,,,,,,equipment,,,
,south_africa,,,UNIT-1475,pump,,,,,,Weir,open_pit,2022.0,,,,,,equipment,,,
,botswana,,,UNIT-1477,conveyor,,,,,,Metso,open_pit,2012.0,,,,,,equipment,,,
,south_africa,,,UNIT-1480,pump,,,,,,Weir,underground,2017.0,,,,,,equipment,,,
,botswana,,,UNIT-1486,loader,,,,,,Komatsu,processing_plant,2020.0,,,,,,equipment,,,
,drc,,,UNIT-1490,haul_truck,,,,,,Komatsu,open_pit,2008.0,,,,,,equipment,,,
,ghana,,,UNIT-1494,pump,,,,,,KSB,open_pit,2023.0,,,,,,equipment,,,
,south_africa,,,UNIT-1495,drill_rig,,,,,,Sandvik,underground,2011.0,,,,,,equipment,,,
,botswana,,,UNIT-1496,drill_rig,,,,,,Caterpillar,open_pit,2008.0,,,,,,equipment,,,
,zambia,,,UNIT-1497,haul_truck,,,,,,Hitachi,open_pit,2018.0,,,,,,equipment,,,
,botswana,,,UNIT-1498,grader,,,,,,Caterpillar,open_pit,2019.0,,,,,,equipment,,,
,drc,,,UNIT-1500,drill_rig,,,,,,Caterpillar,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1501,haul_truck,,,,,,Caterpillar,open_pit,2017.0,,,,,,equipment,,,
,ghana,,,UNIT-1503,conveyor,,,,,,Metso,underground,2008.0,,,,,,equipment,,,
,zambia,,,UNIT-1506,loader,,,,,,Komatsu,processing_plant,2012.0,,,,,,equipment,,,
,south_africa,,,UNIT-1510,conveyor,,,,,,FLSmidth,underground,2012.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1513,drill_rig,,,,,,Epiroc,processing_plant,2022.0,,,,,,equipment,,,
,south_africa,,,UNIT-1515,drill_rig,,,,,,Sandvik,open_pit,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1521,conveyor,,,,,,FLSmidth,processing_plant,2011.0,,,,,,equipment,,,
,tanzania,,,UNIT-1522,haul_truck,,,,,,Komatsu,open_pit,2021.0,,,,,,equipment,,,
,zambia,,,UNIT-1523,loader,,,,,,Caterpillar,underground,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1524,loader,,,,,,Caterpillar,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1528,haul_truck,,,,,,Caterpillar,open_pit,2012.0,,,,,,equipment,,,
,zambia,,,UNIT-1529,excavator,,,,,,Caterpillar,processing_plant,2014.0,,,,,,equipment,,,
,ghana,,,UNIT-1531,excavator,,,,,,Hitachi,underground,2019.0,,,,,,equipment,,,
,drc,,,UNIT-1532,drill_rig,,,,,,Caterpillar,processing_plant,2008.0,,,,,,equipment,,,
,zambia,,,UNIT-1534,loader,,,,,,Caterpillar,open_pit,2018.0,,,,,,equipment,,,
,tanzania,,,UNIT-1535,crusher,,,,,,Sandvik,open_pit,2019.0,,,,,,equipment,,,
,tanzania,,,UNIT-1538,conveyor,,,,,,Metso,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1541,loader,,,,,,Komatsu,open_pit,2013.0,,,,,,equipment,,,
,ghana,,,UNIT-1542,drill_rig,,,,,,Caterpillar,open_pit,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1543,grader,,,,,,John Deere,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1544,haul_truck,,,,,,Belaz,processing_plant,2012.0,,,,,,equipment,,,
,south_africa,,,UNIT-1545,drill_rig,,,,,,Caterpillar,underground,2008.0,,,,,,equipment,,,
,ghana,,,UNIT-1550,excavator,,,,,,Liebherr,underground,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1551,haul_truck,,,,,,Caterpillar,open_pit,2015.0,,,,,,equipment,,,
,ghana,,,UNIT-1553,crusher,,,,,,FLSmidth,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1558,drill_rig,,,,,,Sandvik,processing_plant,2020.0,,,,,,equipment,,,
,tanzania,,,UNIT-1560,conveyor,,,,,,ThyssenKrupp,processing_plant,2015.0,,,,,,equipment,,,
,botswana,,,UNIT-1567,excavator,,,,,,Liebherr,open_pit,2017.0,,,,,,equipment,,,
,south_africa,,,UNIT-1569,haul_truck,,,,,,Belaz,open_pit,2008.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1574,conveyor,,,,,,ThyssenKrupp,processing_plant,2020.0,,,,,,equipment,,,
,ghana,,,UNIT-1577,haul_truck,,,,,,Hitachi,underground,2013.0,,,,,,equipment,,,
,south_africa,,,UNIT-1584,excavator,,,,,,Komatsu,open_pit,2023.0,,,,,,equipment,,,
,zambia,,,UNIT-1586,conveyor,,,,,,FLSmidth,open_pit,2021.0,,,,,,equipment,,,
,tanzania,,,UNIT-1589,conveyor,,,,,,Metso,underground,2017.0,,,,,,equipment,,,
,ghana,,,UNIT-1594,haul_truck,,,,,,Caterpillar,open_pit,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1597,excavator,,,,,,Hitachi,underground,2014.0,,,,,,equipment,,,
,ghana,,,UNIT-1598,haul_truck,,,,,,Komatsu,open_pit,2014.0,,,,,,equipment,,,
,zambia,,,UNIT-1600,drill_rig,,,,,,Caterpillar,open_pit,2011.0,,,,,,equipment,,,
,drc,,,UNIT-1601,crusher,,,,,,Sandvik,open_pit,2017.0,,,,,,equipment,,,
,south_africa,,,UNIT-1602,haul_truck,,,,,,Belaz,open_pit,2014.0,,,,,,equipment,,,
,south_africa,,,UNIT-1604,haul_truck,,,,,,Komatsu,processing_plant,2015.0,,,,,,equipment,,,
,ghana,,,UNIT-1606,drill_rig,,,,,,Sandvik,underground,2018.0,,,,,,equipment,,,
,botswana,,,UNIT-1607,crusher,,,,,,Metso,open_pit,2008.0,,,,,,equipment,,,
,tanzania,,,UNIT-1608,haul_truck,,,,,,Belaz,open_pit,2010.0,,,,,,equipment,,,
,zambia,,,UNIT-1609,loader,,,,,,Komatsu,underground,2013.0,,,,,,equipment,,,
,zambia,,,UNIT-1611,conveyor,,,,,,Metso,open_pit,2021.0,,,,,,equipment,,,
,drc,,,UNIT-1612,excavator,,,,,,Liebherr,underground,2017.0,,,,,,equipment,,,
,botswana,,,UNIT-1613,conveyor,,,,,,FLSmidth,underground,2020.0,,,,,,equipment,,,
,tanzania,,,UNIT-1617,conveyor,,,,,,FLSmidth,open_pit,2018.0,,,,,,equipment,,,
,drc,,,UNIT-1618,excavator,,,,,,Komatsu,open_pit,2022.0,,,,,,equipment,,,
,zambia,,,UNIT-1620,haul_truck,,,,,,Komatsu,open_pit,2020.0,,,,,,equipment,,,
